id;sender_user_id;receiver_user_id;message_content;message_date_time
1;7058;39943;Plaza implement wireless;2024-03-26T18:08:36
2;93199;59743;user-centric structure Function-based;2024-03-26T08:07:44
3;36594;32803;e-services Awesome Dirham;2024-03-26T16:07:01
4;40614;29791;Buckinghamshire XML;2024-03-26T18:49:35
5;31987;84482;Gloves;2024-03-26T01:52:09
6;21883;17018;Marketing reboot;2024-03-26T15:49:31
7;51508;87456;Industrial;2024-03-26T12:06:59
8;89699;60544;parsing Jewelery copy;2024-03-26T07:45:41
9;37785;58095;Buckinghamshire Pula;2024-03-26T04:18:27
10;73887;50698;cyan;2024-03-26T11:41:22
