id;zone_name;zone_description;zone_location
1;synergies;portal Towels Soap;LONGITUDE
2;Granite Multi-layered systemic;Home;LONGITUDE
3;Moldova;Steel;LATITUDE
4;Account;1080p action-items Islands;LATITUDE
5;Sleek orchestrate;Maine attitude-oriented;LONGITUDE
6;Knoll Handmade Avon;SDD Automotive;LONGITUDE
7;invoice Persistent RAM;Multi-layered transmit Finland;LONGITUDE
8;Awesome Small;withdrawal;LONGITUDE
9;Focused;generation Grocery eyeballs;LONGITUDE
10;Sudanese interface;Account Salad Market;LONGITUDE
