id;sender_user_id;receiver_user_id;message_content;message_date_time
1;68050;3879;Loan Bacon;2024-03-26T20:56:27
2;3406;8326;matrix Kids Lead;2024-03-26T06:04:18
3;34186;37740;Compatible impactful Run;2024-03-26T08:58:44
4;75777;14614;Toys Rhode;2024-03-26T16:55:52
5;25333;12954;backing bleeding-edge;2024-03-26T07:06:06
6;48765;49036;streamline;2024-03-26T16:21:27
7;86421;4461;Dynamic Clothing;2024-03-26T10:22:52
8;5437;88856;Movies PCI connect;2024-03-26T04:24:44
9;8939;27698;Borders Berkshire Senior;2024-03-26T00:24:21
10;7726;69128;service-desk;2024-03-26T10:23:35
